City Name,city,cloudiness,country,date,humidity,latitude,longitude,max temp,wind speed,date only
huarmey,Huarmey,100,PE,2019-07-02 14:50:34,90,-10.07,-78.15,63.56,14.41,2019-07-02
new norfolk,New Norfolk,75,AU,2019-07-02 14:54:47,65,-42.78,147.06,46.99,4.7,2019-07-02
souillac,Souillac,0,FR,2019-07-02 14:52:06,47,45.6,-0.6,82.4,11.41,2019-07-02
naron,Naron,75,ES,2019-07-02 14:54:47,73,43.52,-8.15,69.8,10.29,2019-07-02
turbat,Turbat,1,PK,2019-07-02 14:54:47,66,26,63.05,86.24,11.97,2019-07-02
mar del plata,Mar del Plata,93,AR,2019-07-02 14:54:47,94,-46.43,-67.52,35.3,18.23,2019-07-02
georgetown,Georgetown,40,GY,2019-07-02 14:51:23,78,6.8,-58.16,86,13.87,2019-07-02
teahupoo,Teahupoo,100,PF,2019-07-02 14:54:47,83,-17.83,-149.27,73.4,1.12,2019-07-02
cheremukhovo,Cheremukhovo,23,RU,2019-07-02 14:54:48,72,56.23,46.23,70.76,2.26,2019-07-02
rikitea,Rikitea,100,PF,2019-07-02 14:54:48,75,-23.12,-134.97,69.32,21,2019-07-02
sorland,Sorland,75,NO,2019-07-02 14:54:48,76,67.67,12.69,50,11.41,2019-07-02
chuy,Chuy,96,UY,2019-07-02 14:54:48,67,-33.69,-53.46,51.5,16.24,2019-07-02
bethel,Bethel,90,US,2019-07-02 14:52:22,93,60.79,-161.76,51.8,12.75,2019-07-02
busselton,Busselton,15,AU,2019-07-02 14:54:48,62,-33.64,115.35,50,11.1,2019-07-02
butaritari,Butaritari,100,KI,2019-07-02 14:52:09,70,3.07,172.79,84.62,8.43,2019-07-02
mataura,Mataura,100,NZ,2019-07-02 14:54:49,80,-46.19,168.86,50,1.99,2019-07-02
kapaa,Kapaa,75,US,2019-07-02 14:54:49,78,22.08,-159.32,78.8,5.82,2019-07-02
jambi,Jambi,60,ID,2019-07-02 14:54:49,96,-1.6,103.62,75.62,1.68,2019-07-02
maturin,Maturin,0,VE,2019-07-02 14:54:49,58,9.75,-63.18,82.46,7.92,2019-07-02
baruun-urt,Baruun-Urt,34,MN,2019-07-02 14:54:49,55,46.68,113.28,63.92,3.62,2019-07-02
punta arenas,Punta Arenas,20,CL,2019-07-02 14:54:50,80,-53.16,-70.91,33.8,5.82,2019-07-02
hilo,Hilo,1,US,2019-07-02 14:54:50,78,19.71,-155.08,71.6,6.93,2019-07-02
klaksvik,Klaksvik,69,FO,2019-07-02 14:54:50,62,62.23,-6.59,51.8,18.34,2019-07-02
horsham,Horsham,0,AU,2019-07-02 14:54:50,94,-36.71,142.2,43.22,2.68,2019-07-02
lagoa,Lagoa,0,PT,2019-07-02 14:46:10,64,37.14,-8.45,79,10.29,2019-07-02
tigil,Tigil,85,RU,2019-07-02 14:54:51,90,57.8,158.67,47.9,5.3,2019-07-02
